25214041,stratigraphy,2331-656X
26018076,computational materials science,0927-0256
28082686,international journal of automation and computing,1476-8186
29606632,archives of metallurgy,0860-7052
35579339,the philosophical review,0031-8108
36660284,international journal of technology policy and management,1468-4322
36812265,living reviews in solar physics,1614-4961
36866849,nahrung food,
37435690,capitalism and society,1932-0213
40751556,victorian studies,0042-5222
43080212,biophysical reviews and letters,1793-0480
47930974,genetic programming and evolvable machines,1389-2576
48813012,journal of shellfish research,0730-8000
54491323,university of illinois law review,0276-9948
56294177,revista espanola de salud publica,1135-5727
57090429,philosophy & social criticism,0191-4537
58885577,speculations in science and technology,0155-7785
59313349,drug design reviews online,1567-2697
59805529,stamford journal of pharmaceutical sciences,1999-7108
62081359,cultural critique,0882-4371
62923122,archivos latinoamericanos de nutricion,0004-0622
66095140,jornal de pediatria,0021-7557
67081940,digital investigation,1742-2876
67319095,journal of exercise science & fitness,1728-869X
68061332,critique critical middle eastern studies,1066-9922
75343556,international journal of humanoid robotics,0219-8436
78701549,advances in software engineering,1687-8655
79752301,the open drug metabolism journal,
81862269,souls,1099-9949
86458340,the humanistic psychologist,0887-3267
87360320,verhaltenstherapie,1016-6262
87777121,nephron,0028-2766
92608454,history and theory,0018-2656
95018400,comparative biochemistry and physiology d genomics & proteomics,
97803974,international journal of public theology,1569-7320
98083841,european addiction research,1022-6877
99346554,baltic astronomy,2543-6376
100930738,financial history review,0968-5650
102120254,tidsskrift for rettsvitenskap,0040-7143
102748110,complex systems,0891-2513
106045766,educational media international,0952-3987
108791851,hellenic journal of cardiology,
109692114,anuario de estudios medievales,0066-5061
112599509,comparative technology transfer and society,1542-0132
112816734,journal of the japan society for precision engineering,
114405291,the artefact,0044-9075
114406506,american journal of mathematics,0002-9327
117881001,international journal of flow control,1756-8250
118039931,lecture notes in mathematics,0075-8434
118428158,frontiers in aging neuroscience,1663-4365
119669599,sex education,1468-1811
121521422,discussions of the faraday society,
122104973,journal of agricultural engineering research,0021-8634
124338592,public law,0033-3565
126033908,cancer,0008-543X
126094547,ca a cancer journal for clinicians,0007-9235
126361426,weimarer beitrage,0043-2199
129637156,experimental eye research,0014-4835
129671167,breathe,1810-6838
130226078,imagine,1071-605X
131104103,orthopedic trauma directions,1612-8060
135331755,new mathematics and natural computation,1793-0057
136368880,journal of psychopharmacology,0269-8811
136633375,radiation botany,0033-7560
137419829,journal of neuroimmunology,0165-5728
138315415,boletin de la sociedad chilena de quimica,0366-1644
138506870,heart drug,1422-9528
138880448,project baikal,2307-4485
139447867,petroleum geoscience,1354-0793
144693862,annali della scuola normale superiore di pisa classe di scienze,
147309332,historical materialism research in critical marxist theory,
147586446,archives of cardiovascular diseases supplements,1878-6480
149803608,international journal of project organisation and management,1740-2905
150895090,computing systems in engineering,0956-0521
152998702,nitric oxide,1089-8603
153084679,european journal of clinical investigation,0014-2972
156100525,review of metaphysics,0034-6632
156566788,journal of biological engineering,1754-1611
157927991,international journal of speech language and the law,
158656174,behaviour,0005-7959
159541102,neurochemical pathology,
162357988,common law world review,1473-7795
164128033,science news,0036-8423
165362458,journal of the society of architectural historians,0037-9808
167117542,journal of applied statistics,0266-4763
171983598,sport ethics and philosophy,1751-133X
173349649,geographical research,1745-5863
175543413,optical engineering,0091-3286
176007004,american political science review,0003-0554
186832212,the review of higher education,0162-5748
191032393,third text,0165-4888
196832940,geostandards and geoanalytical research,1639-4488
197616855,cultural studies of science education,1871-1502
197939330,plos medicine,1549-1277
199382812,ichthyological research,1341-8998
201446958,health research policy and systems,1478-4505
201546697,journal of university of science and technology beijing,
202178085,journal of real estate finance and economics,0895-5638
207023805,quaker history,0033-5053
958758209,tulane studies in philosophy,0082-6766
977864947,mausam,0252-9416
981450421,career development and transition for exceptional individuals,0885-7288
995602670,archiv fur musikwissenschaft,0003-9292
1039215795,civil szemle,1786-3341
2595198681,arxiv k theory and homology,
2736391205,redes revista hispana para el analisis de redes sociales,1579-0185
2736624518,fronteras revista de ciencias sociales y humanidades,0719-4285
2736648583,jurnal kesehatan andalas,2301-7406
2736713552,journal of dental medicine,1024-641X
2736738240,anvil,0969-7373
2737056322,economic and social changes facts trends forecast,2307-0331
2737697848,electronic journal of e learning,1479-4403
2737930551,yod,0338-9316
2738010262,dialogic pedagogy,2325-3290
2738650739,ecos de economia,1657-4206
2738820299,logistics & sustainable transport,1854-3332
2739140179,e balonmano com revista de ciencias del deporte,1885-7019
2739366919,ilmu pertanian (agricultural science),0126-4214
2739373051,challenges in sustainability,2297-6477
2739376119,analysis and geometry in metric spaces,2299-3274
2753973670,endokrinologie,0013-7251
2754534772,frankfurter zeitschrift fur pathologie,0367-3480
2754633772,folia endocrinologica mensile di incretologia e incretoterapia,
2755178836,lyon medical,0024-7790
2755299131,journal association of official analytical chemists,0004-5756
2755686662,basic life sciences,0090-5542
2755769514,health data management,1079-9869
2755934217,revista espanola de fisiologia,0034-9402
2756041182,dental digest,0011-8567
2764355551,international journal of regulation and governance,0972-4907
2764355691,urban development studies,
2764359997,financial reporting,2036-671X
2764367000,moj public health,2379-6383
2764368169,international journal for the study of skepticism,2210-5697
2764385509,transnational environmental law,2047-1025
2764398645,economic quarterly federal reserve bank of richmond,1069-7225
2764398871,electrical equipment,
2764419953,journal of hunan university of ats and science,
2764424833,annals of agri bio research,0971-9660
2764449665,journal of wine economics,1931-4361
2764470444,journal of learning design,1832-8342
2764481228,qilu journal,
2764487046,hebei fisheries,
2764499334,international federation of classification societies,
2764499903,international journal of contemporary pediatrics,2349-3283
2764503453,the journal of the college and university personnel association,
2764513568,journal of neuromuscular diseases,2214-3599
2764524436,journal of fujian agriculture universigy,
2764528325,international journal of psychiatric nursing,2394-9465
2764538412,journal of physical education and sport sciences,1302-2040
2764540176,journal of salt and chemical industry,
2764549619,journal of the department of agriculture of victoria australia,
2764551189,journal of beijing university of aeronautics and astronautics,1001-5965
2764558583,journal of life support engineering,1341-9455
2764567416,perspectives on the professions,
2764583399,international journal of play,2159-4937
2764598041,journal of applied computer science,1507-0360
2764610918,sti policy review,2093-3053
2764623367,the philippine agriculturist,
2764624930,journal of yoga & physical therapy,2157-7595
2764630463,netinfo security,
2764636232,soviet journal of computer and systems sciences,0882-4002
2764638950,international research journal of agricultural science and soil science,2251-0044
2764654727,journal of eastern african research and development,0251-0405
2764656711,tribune of education culture,
2764659323,technical report of ieice sat,
2764660054,computer & network,
2764666510,chinese journal of interventional cardiology,
2764671827,bulletin of the post graduate committee in medicine university of sydney,0042-0115
2764678073,international journal of remote sensing and earth sciences,
2764682110,international journal of knowledge engineering and management,
2764693378,the the journal of the assembly for expanded perspectives on learning,
2764694309,brazilian review of econometrics,1980-2447
2764697189,archives of business research,2054-7404
2764709503,journal of parametrics,
2764715206,annals of plant protection sciences,0971-3573
2764717495,tractor & farm transporter,
2764722518,filter & separator,
2764734200,contract healthcare,0891-5059
2764739852,journal on english language teaching,2231-3338
2764744780,journalof southwest china normal university,
2764780188,optics and photonics journal,2160-8881
2764780956,applied industrial hygiene,0882-8032
2764782344,chemical industry and engineering progress,1000-6613
2764799262,information knowledge systems management archive,
2764808976,the journal of korean nietzsche society,1598-9364
2764813100,wool textile journal,1003-1456
2764816333,anglisticum journal of the association for anglo american studies,
2764836581,educational and industrial television,
2764840418,indonesian journal of chemistry,1411-9420
2764852163,applied cancer research,1808-5512
2764878584,journal of wuhan urban construction institute,
2764896975,journal of dali medical college,
2764897430,jos journal of medicine,2006-0734
2764916241,electric light and power,0013-4120
2764917103,indo american journal of pharmaceutical research,
2764927640,computing in civil engineering,
2764949817,hanyang medical reviews,1738-429X
2764976321,chinese journal of oral implantology,
2764980655,turkiye klinikleri journal of general surgery special topics,1308-1136
2764987508,psychomusicology a journal of research in music cognition,0275-3987
2764992689,journal of us china public administration,1548-6591
2764999424,journal of henan institute of education,
2765015646,chinese journal of practical aesthetic and plastic surgery,
2765033336,the planner,
2765041740,journal of yanbian party school,
2765051095,journal of dali university,
2765057658,sport marketing quarterly,1061-6934
2898092205,woman psychosomatic gynaecology and obstetrics,2213-560X
2898217257,experimentelle pathologie,0014-4908
2898423621,ijc heart & vessels,2214-7632
5885750,african zoology,1562-7020
9011877,sri lankan journal of physics,1391-5800
11365620,turcica,0082-6847
12104227,geodesy and cartography,2029-7009
13034552,smart structures and systems,1738-1584
14903304,johns hopkins apl technical digest,0270-5214
15497777,journal of biomedical nanotechnology,1550-7033
15540642,retinal cases & brief reports,1935-1089
15574646,journal africain du cancer african journal of cancer,
16430372,journal of policy practice,1558-8742
20365629,energy systems,1868-3967
20643940,ais educator journal,
25739708,international journal of rock mechanics and mining sciences & geomechanics abstracts,0148-9062
26519103,mycological progress,1617-416X
27091128,journal of hand therapy,0894-1130
32855357,kardiologie up2date,
35117596,international journal of pixe,0129-0835
37513099,spring,0906-9976
40343061,analytical communications,1359-7337
40694607,international journal of virtual reality,
43047838,danish medical bulletin,0907-8916
43255653,rem revista escola de minas,
47914153,psycoloquy,1055-0143
52332701,russian journal of marine biology,1063-0740
57081574,international journal of stochastic analysis,2090-3332
59782642,denver university law review,0883-9409
60719375,international journal of metrology and quality engineering,2107-6839
65279705,journal of king abdulaziz university engineering sciences,
65504228,photochemical and photobiological sciences,1474-905X
66208518,international journal of laboratory hematology,1751-5521
70673737,gesunde pflanzen,0367-4223
71089341,drug discovery today disease mechanisms,1740-6765
73278439,sensors and actuators,0250-6874
73472941,the journal of social studies research,0885-985X
76665325,artnews,0004-3273
77268660,pharmaceutica acta helvetiae,0031-6865
81002524,creative nursing,1078-4535
81881469,juvenile and family court journal,0161-7109
84742693,journal of roman studies,0075-4358
87699637,team spiegel,
88209258,health education,
90791864,monthly weather review,0027-0644
94188741,asian journal of agricultural research,1819-1894
94345546,cbe life sciences education,1931-7913
97670696,the polish review,0032-2970
98276404,journal of insect physiology,0022-1910
105051383,american journal of health system pharmacy,1079-2082
105095592,the open education journal,1874-9208
106561314,russian meteorology and hydrology,1068-3739
108334190,progress in nutrition,1129-8723
113287398,journal of cardiology cases,1878-5409
114875548,journal of information processing and management,0021-7298
115217459,cochlear implants international,1467-0100
121755651,critical inquiry,0093-1896
126197182,filozofska istrazivanja,0351-4706
126748203,zoological journal of the linnean society,0024-4082
130699561,technology analysis & strategic management,0953-7325
133389073,acta periodica technologica,1450-7188
134188425,automation and remote control,0005-1179
135377911,fluids and barriers of the cns,2045-8118
139077791,genome integrity,2041-9414
140216511,journal of glaciology,0022-1430
146882022,netherlands journal of psychology,1872-552X
149285975,land economics,0023-7639
151842127,odontology,1618-1247
154908413,herz,0340-9937
155709873,pathology research international,2042-003X
156392881,cognitive semiotics,1662-1425
163152955,journal of testing and evaluation,0090-3973
167743172,plant science,0168-9452
168512290,interiors design architecture and culture,2041-9112
177817115,cgb technical report,
178434951,discrete mathematics algorithms and applications,1793-8309
178563901,society and business review,1746-5680
183292605,critical reviews in oncogenesis,0893-9675
184803288,psychotherapy and psychosomatics,0033-3190
187554063,gottinger miszellen,0344-385X
189140625,journal of molecular liquids,0167-7322
190398947,journal of reproductive immunology,0165-0378
193008421,critique internationale,1290-7839
195774317,apeiron,0003-6390
197820984,bmc veterinary research,1746-6148
199924676,theoretical and computational chemistry,1380-7323
201205917,prostaglandins and medicine,0161-4630
202174029,journal of chronic fatigue syndrome,1057-3321
203823272,journal of the south african veterinary association tydskrif van die suid afrikaanse veterinere vereniging,
205331316,latin american and caribbean ethnic studies,1744-2222
206786067,zeitschrift fur naturforschung section a a journal of physical sciences,
955657080,carnivorous plant newsletter,0190-9215
966713004,campus legal advisor,1531-3999
1007503842,revista del instituto de historia antigua oriental,0325-1209
1018412103,educacion xx1,1139-613X
2475925340,journal of control and decision,2330-7706
2504426957,beilstein journal of nanotechnology,2190-4286
2607323502,scientific data,2052-4463
2736142517,journal of integrable systems,2058-5985
2736735792,simbiosis journal of biological sciences,
2736865700,food and energy security,2048-3694
2737009775,jurnal sastra indonesia,2252-6315
2737151498,mundi migratios,2409-0018
2737399833,psicoart,2038-6184
2737508292,građevinski materijali i konstrukcije,
2738090843,virginia libraries,1086-9751
2738441541,italiano linguadue,2037-3597
2738442270,archeologia e calcolatori,
2738671485,byzantina symmeikta,1791-4884
2739125951,lenguas modernas,0716-0542
2739148406,advances in epidemiology,2314-7628
2739250037,revista estudios socio juridicos,0124-0579
2739328360,iranian journal of applied ecology,2476-3128
2739331564,sexual medicine,2050-1161
2739350760,international journal of humanities and cultural studies,2356-5926
2739403575,international journal of management knowledge and learning,2232-5697
2754010732,polish journal of medicine and pharmacy,
2754235422,revista chilena de obstetricia y ginecologia,0048-766X
2754292137,aktuelle probleme in chirurgie und orthopadie,0378-8504
2755154629,american medical news,0001-1843
2755594350,medicine and biology,0019-1604
2756013619,polskie archiwum weterynaryjne,0079-3647
2756016037,izvestiia akademii nauk sssr seriia biologicheskaia,0002-3329
2756075098,zhurnal voprosy neirokhirurgii imeni n n burdenko,0042-8817
2764351722,journal of educational policy and entrepreneurial research,
2764359669,european journal of literature and linguistics,2310-5720
2764377789,education statistics quarterly,1521-3374
2764380229,facial nerve research,0914-790X
2764400469,journal of guangdong commication polytechnic,
2764409558,research monograph,
2764423158,the iup journal of agricultural economics,
2764424020,journal of the american dental society of anesthesiology,
2764428916,chinese journal of underground space and engineering,
2764450267,plant engineering,0032-082X
2764482039,water engineering research,1229-6503
2764482646,heavy machinery,
2764484229,the japanese journal of clinical nursing,
2764490696,journal of xianyang teachers college,
2764491574,new directions for student leadership,2373-3349
2764513175,cogent engineering,2331-1916
2764529844,information & security an international journal,
2764538478,southwest philosophy review,
2764554531,topics in clinical nursing,0164-0534
2764555663,journal of education and vocational research,
2764557015,journal of islamic economics banking and finance,2070-4658
2764568030,china harbour engineering,
2764578440,open journal of ecology,2162-1993
2764580023,legal aspects of medical practice,0190-2350
2764587058,food science and nutrition,2048-7177
2764597981,nonferrous mines,
2764610651,technology and learning,
2764611830,zeitschrift fur naturforschung c a journal of biosciences,
2764613475,european journal of contemporary education,2304-9650
2764624559,journal of anhui agrotechnical,
2764629927,cultural economics,1344-1442
2764633300,monitore zoologico italiano italian journal of zoology,
2764646321,khon kaen university journal,
2764660242,journal of beijing institute of economic management,
2764664598,chemistry in australia,0314-4240
2764671904,kinesiology international journal of fundamental and applied kinesiology,
2764677203,journal of water resources and architectural engineering,
2764682656,journal of global communication,0974-0600
2764703235,ibn al haitham journal for pure and applied science,1609-4042
2764704013,left history,1192-1927
2764717981,chinese journal of physical medicine and retabulitation,
2764720632,physical chemistry research,2322-5521
2764730762,journal of nanomedicine research,2377-4282
2764733642,ugandan banker,1605-7848
2764735072,industrial microbiology,
2764744069,international journal of social science and humanity,2010-3646
2764768334,axis world design journal,0285-8223
2764769734,journal of intercultural management,2080-0150
2764770564,advances in palliative medicine,1898-3863
2764791191,wisconsin archeologist,0043-6364
2764795765,southern iron and steel,
2764811224,goureneal of jiyuan vuational and technical college,
2764812328,flight international,0015-3710
2764858803,the journal of international educational sciences,
2764882708,xinjiang medical journal,
2764912760,malaysian family physician,1985-207X
2764913983,liaoning higher vocational technical institute journal,
2764916470,the planter,0126-575X
2764916679,journal of japan society of mathematical education mathematical education,0021-471X
2764919456,global tides,
2764922044,anhui forestry science and technology,
2764928018,south east asia journal of public health,2220-9476
2764930311,china sport science,1000-677X
2764933386,international journal of current research and academic review,2347-3215
2764942940,the russian sociological review,
2764950386,the asian medical journal,
2764959953,hastings women s law journal,1061-0901
2764967198,international journal of epidemiology and infectious disease,
2764974810,social cohesion and development,2459-4156
2765005613,rossiiskaya rinologiya,
2765023107,microscopica acta supplement,0342-958X
2765030972,the consultant,2048-6952
2765037618,journal of the west african college of surgeons,2276-6944
2765038656,inorganic chemicals industry,
2765059969,uniswa journal of agriculture,1021-0873
2898194095,neuroimage clinical,2213-1582
2898268954,le pharmacien hospitalier et clinicien,2211-1042
2898319120,revista mexicana de ortodoncia,2395-9215
2898411350,nfs journal,2352-3646
3034617402,european journal of hybrid imaging,2510-3636
3118568148,review of business accounting & finance,
522974,anatomy and embryology,0340-2061
531269,international emergency nursing,1755-599X
2710364,helgoland marine research,1438-387X
7637673,current opinion in solid state & materials science,1359-0286
8792693,materials & design,0264-1275
10875568,journal of human rights practice,1757-9619
12651931,north american review of economics and finance,1042-752X
20375091,wood research,
20712160,journal of research in music education,0022-4294
23060700,folia neuropathologica,1509-572X
24080861,first amendment law review,
29564236,journal of ethnopharmacology,0378-8741
29620287,journal of patient safety,1549-8417
31678740,smith college studies in social work,0037-7317
33637472,analytical and quantitative cytology and histology,0884-6812
40213007,journal of polymer engineering,0334-6447
42443904,actualite chimique,0151-9093
48201647,european journal of pediatrics,0340-6199
56850725,analysis in theory and applications,1573-8175
60010591,action learning research and practice,1476-7333
60460582,the journal of the society for art and science,
62468778,the new england journal of medicine,0028-4793
69999400,jge the journal of general education,0021-3667
70441316,women s studies,0049-7878
77407326,journal for nature conservation,1617-1381
78725770,histochemistry and cell biology,0948-6143
79519963,international affairs,0020-5850
81064336,soil research,1838-6768
83732625,the cardiology,1811-8194
87563493,injury extra,1572-3461
87646409,journal of immigrant & refugee studies,1556-2948
90998793,international journal of public sector management,0951-3558
93028289,community work & family,1366-8803
93559295,brazilian journal of chemical engineering,0104-6632
93955710,comparative and international law journal of southern africa,0010-4051
97130795,ieee transactions on parallel and distributed systems,1045-9219
97837933,ieee transactions on product engineering and production,0097-4544
98708256,comunicar,1134-3478
100827509,t inkazos,1990-7451
104459788,current opinion in critical care,1070-5295
110876149,trees structure and function,0931-1890
113566553,st petersburg mathematical journal,1061-0022
115201632,frontiers in neuroscience,1662-453X
120226629,capital & class,0309-8168
120724121,journal of elder abuse & neglect,0894-6566
121590172,strategic analysis,0970-0161
123631873,international journal of endocrinology,1687-8337
126402459,journal of ocular biology diseases and informatics,1936-8437
127523745,measurement techniques,0543-1972
127772399,zeitschrift fur celtische philologie,0084-5302
128425624,current biology,0960-9822
129839026,journal of the american medical informatics association,1067-5027
135102583,synfacts,1861-194X
140210197,journal of nuclear science and technology,0022-3131
141879773,children youth and environments,1546-2250
144485983,rambam maimonides medical journal,2076-9172
144620930,ieee transactions on robotics,1552-3098
144953016,late imperial china,0884-3236
145337823,journal of investment management,1545-9144
147719026,kardiologiya,0022-9040
